,year,sid,post,homicide,murder,robbery,assault,burglary,larceny,l_exp_pubwelfare,l_police,l_income,unemployrt,poverty,blackm_15_24,whitem_15_24,popwt
0,2000,1,0,7.5939784,6.5322065,131.61357,325.6178,930.92017,2940.6238,6.926083,5.8546085,10.711102,4.1,14.705981469769503,2.2222428,4.69481,4499293.0
1,2001,1,0,8.713443,7.4949403,128.3796,281.63504,934.3846,2758.69,6.974412,5.863135,10.675931,4.7,15.750203294509083,2.2499535,4.700201,4499293.0
2,2002,1,0,6.9332876,6.4069986,136.42331,274.6314,974.2757,2835.829,7.0387506,5.7413816,10.727071,5.4,15.556558810183741,2.258261,4.685461,4499293.0
3,2003,1,0,6.8180065,6.567177,137.6827,258.537,986.10266,2828.4238,7.1104236,5.853816,10.695688,5.5,15.447801660310034,2.292948,4.688166,4499293.0
4,2004,1,0,5.7536893,5.595123,136.86531,255.65407,1011.7885,2800.9592,7.0855193,5.792754,10.652069,5.1,16.252654002359012,2.2913275,4.661734,4499293.0
5,2005,1,0,8.418573,6.932943,145.1191,254.2004,978.55786,2718.7039,7.0059175,5.6622906,10.633232,3.9,16.87298173709831,2.3120463,4.635865,4499293.0
6,2006,1,0,8.001687,6.784039,153.42366,227.87415,968.9217,2645.123,6.9676113,5.832794,10.622327,3.6,16.167670139138036,2.2692394,4.483489,4499293.0
7,2007,1,1,8.54794,7.653896,161.40779,248.34819,989.11884,2711.616,6.9971676,5.8762283,10.700725,3.5,16.3587736322205,2.2898014,4.504067,4499293.0
8,2008,1,1,7.718328,7.264309,158.77704,254.89941,1089.1923,2734.0825,6.9110613,5.856899,10.715284,4.9,15.606913546509087,2.2850144,4.4733872,4499293.0
9,2009,1,1,6.9496,6.86327,135.21504,282.79694,1054.181,2548.302,7.0866895,5.900207,10.612508,9.9,17.378813647115702,2.2777638,4.4550176,4499293.0
10,2010,1,1,5.7427597,4.606829,100.15121,245.55031,884.21674,2428.7456,7.1459756,5.831543,10.620742,10.0,16.97416726,2.1828167,4.515513,4499293.0
11,2000,2,0,4.443837,3.9500775,80.647415,418.04987,641.723,2771.3086,7.5531344,5.683415,11.111104,6.2,8.631248734740767,0.3306544,4.9629436,651473.25
12,2001,2,0,6.335993,5.523686,83.505135,435.5589,624.98883,2712.2922,7.6233864,5.689826,11.165422,6.2,8.830911846844431,0.3614765,5.2216706,651473.25
13,2002,2,0,5.286327,5.4465184,78.33375,415.53732,626.02924,2841.6409,7.7115536,5.6953335,11.066013,7.1,9.440418292612598,0.3926299,5.3866067,651473.25
14,2003,2,0,6.192127,6.192127,70.81253,442.49896,615.08466,2866.0024,7.8120546,5.6619034,11.026011,7.7,10.022672712723393,0.38581717,5.5305223,651473.25
15,2004,2,0,5.8179483,5.6607065,70.28711,490.12286,593.2735,2540.871,7.8902493,5.6975317,11.059724,7.4,10.167258158100392,0.434302,5.875342,651473.25
16,2005,2,0,4.9865675,4.9865675,83.68083,481.0479,643.7347,2687.9158,7.8173127,5.657445,11.041673,6.9,10.766778241113002,0.4592317,6.0356164,651473.25
17,2006,2,0,5.3727093,5.2234674,89.39591,516.07855,615.17523,2588.452,7.7931113,5.666709,11.018793,6.7,10.614085751425634,0.43593568,5.839986,651473.25
18,2007,2,1,6.5013933,6.3536344,85.847946,496.6178,544.19617,2504.514,7.7396045,5.6311,11.101055,6.2,9.643634988134957,0.4484484,5.7454586,651473.25
19,2008,2,1,3.96339,3.96339,94.534195,493.66223,474.43246,2236.3796,7.694469,5.663492,11.07903,6.9,9.082181626017453,0.47957018,5.7294474,651473.25
20,2009,2,1,3.220414,3.220414,95.73412,473.54724,526.9768,2232.4788,7.764343,5.6678033,11.044856,8.3,9.068246426072472,0.4144087,5.3245153,651473.25
21,2010,2,1,4.4278564,4.4278564,84.843445,482.63638,443.49985,2218.9275,7.851979,5.6264315,10.971606,8.1,8.899277688,0.3390881,4.92092,651473.25
22,2000,3,0,7.1502805,7.2299495,149.45879,355.34305,1033.7434,3519.4717,6.641533,5.883233,10.827151,4.0,12.881698508320019,0.26902184,4.0020657,5802964.5
23,2001,3,0,7.6960464,7.657566,170.62134,344.18643,1054.7623,3595.0156,6.637799,5.8773594,10.870319,4.7,13.528552523783668,0.2697849,3.9276001,5802964.5
24,2002,3,0,7.238223,7.182113,149.62735,377.3602,1105.1289,3769.5059,6.8094916,5.8588862,10.782201,6.1,13.955462670219818,0.27604377,3.867437,5802964.5
25,2003,3,0,8.060915,8.042636,139.26556,342.21417,1071.3705,3632.4385,6.8782816,5.8425155,10.7955265,5.7,14.312328100075252,0.2804321,3.8021562,5802964.5
26,2004,3,0,7.3482466,7.2949986,137.04303,335.83618,1009.67395,3177.3535,6.9608974,5.8624873,10.831924,4.9,15.150647045072974,0.29112548,3.7395122,5802964.5
